requirement_id,group,type,shall_statement,status,verification_method,verification_rigor
SAFE-012,Safety,Safety,"Emergency Stop shall cancel the active goal, command zero, block subsequent motion commands, and remain latched until explicit reset.",Baseline candidate,Test,High
SAFE-013,Safety,Safety,Resetting Emergency Stop shall not produce motion and shall require the complete readiness sequence before a new goal can be accepted.,Baseline candidate,Test,High
SAFE-014,Safety,Evidence,Diagnostics and evidence collection shall remain active when practical while simulated Emergency Stop is latched; orderly shutdown may follow only after motion inhibition is verified.,Baseline candidate,Test and inspection,High
PERF-001,Performance,Performance,The physics simulation shall use a fixed 60 Hz step during controlled trials.,Provisional target,Inspection and test,Medium
PERF-002,Performance,Performance,Mean simulation real-time factor shall be at least 0.95 during a valid trial.,Provisional target,Test and analysis,Medium
PERF-003,Performance,Performance,Real-time factor shall not remain below 0.90 for longer than two continuous seconds.,Provisional target,Test and analysis,Medium
PERF-004,Performance,Performance,LiDAR output shall maintain at least 9 Hz for the planned nominal 10 Hz configuration.,Provisional target,Test,Medium
PERF-005,Performance,Performance,Odometry and the required dynamic base TF chain shall each maintain at least 27 Hz for their planned nominal 30 Hz configuration.,Provisional target,Test,Medium
PERF-006,Performance,Performance,"Required LiDAR, odometry, and dynamic TF data used by navigation shall not be older than 0.25 seconds.",Provisional target,Test,High
PERF-007,Performance,Performance,Command latency through the simulated robot interface shall not exceed 100 ms.,Provisional target,Test,Medium
PERF-008,Performance,Reliability,"The system shall operate for 30 continuous minutes without an unexplained crash, accumulating fault, or material timing degradation.",Baseline candidate,Test,Medium
DIAG-001,Diagnostics,Interface,"The mission manager shall expose at least Preparing, Ready, Navigating, Recovering, Succeeded, Failed, Canceled, Manual Stop, Emergency Stop, and Inhibited states.",Baseline candidate,Test and inspection,Medium
DIAG-002,Diagnostics,Reliability,"Startup and nominal trials shall contain no safety-critical alarm, unresolved functional error, or non-approved recurring warning affecting required operation.",Baseline candidate,Test and inspection,Medium
DIAG-003,Diagnostics,Interface,"Every rejected, canceled, timed-out, or failed mission shall record an outcome and actionable reason.",Baseline candidate,Test,Medium
DIAG-004,Diagnostics,Interface,Expected automatic-recovery events shall be distinguishable from system-health faults.,Baseline candidate,Test and inspection,Low
EVID-001,Evidence,Evidence,"Every controlled trial shall record requirement and test IDs, date and time, operator, scenario, start, goal, and result classification.",Baseline candidate,Inspection,Low
EVID-002,Evidence,Evidence,"Every controlled trial shall identify the repository revision and exact world, robot, map, launch profile, mission, and parameter versions used.",Baseline candidate,Inspection,Medium
EVID-003,Evidence,Evidence,"Every controlled trial shall record completion time, final pose error, final mission state, collision status, interventions, recoveries, and applicable warnings or faults.",Baseline candidate,Inspection,Medium
EVID-004,Evidence,Evidence,"Performance evidence shall record topic rates, data age, latency, real-time factor, resource use, CPU and GPU temperature, and detected thermal throttling.",Monitoring only,Inspection,Low
EVID-005,Evidence,Evidence,Failed and invalid trials shall be retained and shall not be deleted or relabeled to improve reported performance.,Baseline candidate,Inspection,Medium
EVID-006,Evidence,Evidence,Final pose accuracy shall be measured using simulator ground truth independently from the localization estimate being evaluated.,Baseline candidate,Test and analysis,Medium
EVID-007,Evidence,Evidence,"Every frozen requirement shall have a verification method, planned test or inspection, result, and supporting-evidence reference.",Baseline candidate,Inspection,Medium
EVID-008,Evidence,Evidence,"Verification rigor shall be assigned from requirement risk and variability: high-risk motion responses require 10 consecutive passes, medium-risk variable behavior requires five repetitions, and deterministic low-risk items may use one test or inspection.",Baseline candidate,Inspection and analysis,Medium
EVID-009,Evidence,Evidence,"Repeated tests shall report attempts, passes, failures, invalid trials, observed range, mean and standard deviation when meaningful, and a confidence interval for proportions.",Baseline candidate,Inspection and analysis,Medium
EVID-010,Evidence,Evidence,A failed repetition of a high-risk stop or motion-inhibition test shall remain in the evidence and shall reset the consecutive-pass sequence.,Baseline candidate,Inspection,High
EVID-011,Evidence,Evidence,Release-level reproducibility shall be demonstrated from the controlled setup procedure without undocumented configuration changes; independent execution is preferred and any absence of independent reproduction shall be recorded.,Baseline candidate,Demonstration,Medium
CFG-001,Configuration,Configuration,"Code, world, robot, maps, missions, parameters, launchers, and test procedures shall be version controlled or uniquely version identified.",Baseline candidate,Inspection,Medium
CFG-002,Configuration,Configuration,The acceptance configuration shall be frozen before the formal campaign and shall not change between counted trials.,Baseline candidate,Inspection,High
CFG-003,Configuration,Configuration,"A change to a provisional value shall include measured justification, impact review, and a baseline revision before affected acceptance testing.",Baseline candidate,Inspection and analysis,Medium
CFG-004,Configuration,Configuration,A trial executed with an unidentified or incorrect configuration shall be classified as invalid.,Baseline candidate,Inspection,Medium
ACC-001,Acceptance,Evidence,"The nominal campaign shall contain 10 frozen start-goal scenarios, each performed three times, for 30 counted trials.",Baseline candidate,Inspection and test,Medium
ACC-002,Acceptance,Performance,At least 27 of the 30 nominal trials shall satisfy every successful-trial criterion.,Baseline candidate,Analysis,Medium
ACC-003,Acceptance,Performance,Each individual nominal scenario shall succeed in at least two of its three repetitions.,Baseline candidate,Analysis,Medium
ACC-004,Acceptance,Evidence,"The campaign shall include three clean cold-start and localization tests distributed across S1, S2, and S3.",Baseline candidate,Test,Medium
ACC-005,Acceptance,Evidence,"TB-A, TB-B, TB-C, localization loss, LiDAR loss, TF loss, command loss, cancellation, Manual Safety Stop, Emergency Stop, and shutdown shall be evaluated separately from the nominal success percentage.",Baseline candidate,Test and inspection,High
ACC-006,Acceptance,Evidence,"An invalid trial shall be retained, excluded from the pass-rate denominator, and repeated using the correct frozen procedure.",Baseline candidate,Inspection and analysis,Medium
ACC-007,Acceptance,Safety,"A collision, uncontrolled-motion event, or failure to stop shall block release until investigated and formally dispositioned.",Baseline candidate,Inspection and analysis,High
TRN-001,Hardware transition,Safety,"Before physical autonomous testing, the confirmed robot shall have an independently validated emergency-stop or motor-disable mechanism appropriate to its hardware; the V1 simulated Emergency Stop shall not be represented as physical safety validation.",Baseline candidate,Inspection and staged test,High
